id,seller_pk,address_id,address_status,address_type
105831491,a_10711,72819471,ACTIVE,SELLER_DEFAULT
105831501,a_10711,72819481,ACTIVE,SELLER_PAY
39391103,a_1072,56720323,ACTIVE,SELLER_SHIPPING
39391163,a_1072,56720323,ACTIVE,SELLER_DEFAULT
39533373,a_1072,56778493,ACTIVE,SELLER_BILLING
106022261,a_10721,72948631,ACTIVE,SELLER_SHIPPING
106022281,a_10721,72948631,ACTIVE,SELLER_DEFAULT
106022291,a_10721,72948641,ACTIVE,SELLER_PAY
106113152,a_10722,73025922,ACTIVE,SELLER_SHIPPING
106113172,a_10722,73025922,ACTIVE,SELLER_DEFAULT
106113182,a_10722,73025932,ACTIVE,SELLER_PAY
106123172,a_10732,73030242,ACTIVE,SELLER_SHIPPING
106123192,a_10732,73030242,ACTIVE,SELLER_DEFAULT
106123202,a_10732,73030252,ACTIVE,SELLER_PAY
106152362,a_10742,73051412,ACTIVE,SELLER_SHIPPING
106152382,a_10742,73051412,ACTIVE,SELLER_DEFAULT
106152392,a_10742,73051422,ACTIVE,SELLER_PAY
106153712,a_10742,73052322,ACTIVE,SELLER_BILLING
106243212,a_10752,73122842,ACTIVE,SELLER_SHIPPING
106243232,a_10752,73122842,ACTIVE,SELLER_DEFAULT
106243242,a_10752,73122852,ACTIVE,SELLER_PAY
106243732,a_10752,73123522,ACTIVE,SELLER_BILLING
106262822,a_10762,73140712,ACTIVE,SELLER_SHIPPING
106262842,a_10762,73140712,ACTIVE,SELLER_DEFAULT
106262852,a_10762,73140722,ACTIVE,SELLER_PAY
106517152,a_10772,73321542,ACTIVE,SELLER_SHIPPING
106517172,a_10772,73321542,ACTIVE,SELLER_DEFAULT
106517182,a_10772,73321552,ACTIVE,SELLER_PAY
106525392,a_10782,73326572,ACTIVE,SELLER_SHIPPING
106525412,a_10782,73326572,ACTIVE,SELLER_DEFAULT
106525422,a_10782,73326582,ACTIVE,SELLER_PAY
39269581,a_108,56666861,ACTIVE,SELLER_BILLING
39282331,a_108,56680081,ACTIVE,SELLER_PAY
39359263,a_108,56707913,ACTIVE,SELLER_SHIPPING
39359313,a_108,56707913,ACTIVE,SELLER_DEFAULT
106777681,a_10801,73503671,ACTIVE,SELLER_SHIPPING
106777701,a_10801,73503671,ACTIVE,SELLER_DEFAULT
106777711,a_10801,73503681,ACTIVE,SELLER_PAY
106778281,a_10801,73504041,ACTIVE,SELLER_BILLING
106863541,a_10811,73559861,ACTIVE,SELLER_SHIPPING
106863571,a_10811,73559871,ACTIVE,SELLER_PAY
106864101,a_10811,73560061,ACTIVE,SELLER_BILLING
131590792,a_10811,89571262,ACTIVE,SELLER_DEFAULT
39391193,a_1082,56720353,ACTIVE,SELLER_SHIPPING
39391253,a_1082,56720353,ACTIVE,SELLER_DEFAULT
39533383,a_1082,56778503,ACTIVE,SELLER_BILLING
39547713,a_1082,56792853,ACTIVE,SELLER_PAY
106865981,a_10821,73560951,ACTIVE,SELLER_SHIPPING
106866011,a_10821,73560961,ACTIVE,SELLER_PAY
106866401,a_10821,73561761,ACTIVE,SELLER_BILLING
107631382,a_10821,73928362,ACTIVE,SELLER_DEFAULT
107049141,a_10831,73650961,ACTIVE,SELLER_SHIPPING
107049161,a_10831,73650961,ACTIVE,SELLER_DEFAULT
107049171,a_10831,73650971,ACTIVE,SELLER_PAY
107049291,a_10831,73651001,ACTIVE,SELLER_BILLING
107105261,a_10841,73698621,ACTIVE,SELLER_SHIPPING
107105281,a_10841,73698621,ACTIVE,SELLER_DEFAULT
107105301,a_10841,73698651,ACTIVE,SELLER_PAY
107106331,a_10851,73699281,ACTIVE,SELLER_SHIPPING
107106351,a_10851,73699281,ACTIVE,SELLER_DEFAULT
107106361,a_10851,73699291,ACTIVE,SELLER_PAY
107109421,a_10861,73700741,ACTIVE,SELLER_SHIPPING
107109441,a_10861,73700741,ACTIVE,SELLER_DEFAULT
107109451,a_10861,73700751,ACTIVE,SELLER_PAY
107185262,a_10862,73758392,ACTIVE,SELLER_SHIPPING
107185282,a_10862,73758392,ACTIVE,SELLER_DEFAULT
107185292,a_10862,73758402,ACTIVE,SELLER_PAY
107261122,a_10872,73802342,ACTIVE,SELLER_SHIPPING
107261142,a_10872,73802342,ACTIVE,SELLER_DEFAULT
107261152,a_10872,73802352,ACTIVE,SELLER_PAY
107261692,a_10872,73802532,ACTIVE,SELLER_BILLING
107777562,a_10882,74088532,ACTIVE,SELLER_SHIPPING
107777582,a_10882,74088532,ACTIVE,SELLER_DEFAULT
107777592,a_10882,74088542,ACTIVE,SELLER_PAY
107777702,a_10882,74088612,ACTIVE,SELLER_BILLING
107780432,a_10892,74091462,ACTIVE,SELLER_SHIPPING
107780452,a_10892,74091462,ACTIVE,SELLER_DEFAULT
107780462,a_10892,74091472,ACTIVE,SELLER_PAY
39359363,a_109,56707943,ACTIVE,SELLER_SHIPPING
39359403,a_109,56707943,ACTIVE,SELLER_DEFAULT
107788512,a_10902,74097332,ACTIVE,SELLER_SHIPPING
107788532,a_10902,74097332,ACTIVE,SELLER_DEFAULT
107788542,a_10902,74097342,ACTIVE,SELLER_PAY
107834792,a_10912,74133542,ACTIVE,SELLER_SHIPPING
107834822,a_10912,74133552,ACTIVE,SELLER_PAY
107835002,a_10912,74134282,ACTIVE,SELLER_BILLING
157472052,a_10912,106550892,ACTIVE,SELLER_DEFAULT
39391283,a_1092,56720383,ACTIVE,SELLER_SHIPPING
39391343,a_1092,56720383,ACTIVE,SELLER_DEFAULT
39533393,a_1092,56778513,ACTIVE,SELLER_BILLING
39547723,a_1092,56792863,ACTIVE,SELLER_PAY
107841442,a_10922,74138522,ACTIVE,SELLER_SHIPPING
107841462,a_10922,74138522,ACTIVE,SELLER_DEFAULT
107841472,a_10922,74138532,ACTIVE,SELLER_PAY
107841652,a_10922,74138622,ACTIVE,SELLER_BILLING
